num_nodes,degree,edges,qw_weight,classic_weight,diferenca_entre_pesos
7,2,"[(0, 1, 14), (0, 2, 18), (0, 3, 6), (0, 4, 3), (0, 5, 16), (0, 6, 12), (1, 2, 13), (1, 3, 11), (1, 4, 11), (1, 5, 15), (1, 6, 3), (2, 3, 6), (2, 4, 18), (2, 5, 10), (2, 6, 13), (3, 4, 15), (3, 5, 5), (3, 6, 6), (4, 5, 18), (4, 6, 17), (5, 6, 17)]",41,38,3
7,3,"[(0, 1, 14), (0, 2, 18), (0, 3, 6), (0, 4, 3), (0, 5, 16), (0, 6, 12), (1, 2, 13), (1, 3, 11), (1, 4, 11), (1, 5, 15), (1, 6, 3), (2, 3, 6), (2, 4, 18), (2, 5, 10), (2, 6, 13), (3, 4, 15), (3, 5, 5), (3, 6, 6), (4, 5, 18), (4, 6, 17), (5, 6, 17)]",34,33,1
7,4,"[(0, 1, 14), (0, 2, 18), (0, 3, 6), (0, 4, 3), (0, 5, 16), (0, 6, 12), (1, 2, 13), (1, 3, 11), (1, 4, 11), (1, 5, 15), (1, 6, 3), (2, 3, 6), (2, 4, 18), (2, 5, 10), (2, 6, 13), (3, 4, 15), (3, 5, 5), (3, 6, 6), (4, 5, 18), (4, 6, 17), (5, 6, 17)]",29,29,0
7,5,"[(0, 1, 14), (0, 2, 18), (0, 3, 6), (0, 4, 3), (0, 5, 16), (0, 6, 12), (1, 2, 13), (1, 3, 11), (1, 4, 11), (1, 5, 15), (1, 6, 3), (2, 3, 6), (2, 4, 18), (2, 5, 10), (2, 6, 13), (3, 4, 15), (3, 5, 5), (3, 6, 6), (4, 5, 18), (4, 6, 17), (5, 6, 17)]",29,29,0
7,6,"[(0, 1, 14), (0, 2, 18), (0, 3, 6), (0, 4, 3), (0, 5, 16), (0, 6, 12), (1, 2, 13), (1, 3, 11), (1, 4, 11), (1, 5, 15), (1, 6, 3), (2, 3, 6), (2, 4, 18), (2, 5, 10), (2, 6, 13), (3, 4, 15), (3, 5, 5), (3, 6, 6), (4, 5, 18), (4, 6, 17), (5, 6, 17)]",29,29,0
7,2,"[(0, 1, 7), (0, 2, 6), (0, 3, 7), (0, 4, 11), (0, 5, 19), (0, 6, 12), (1, 2, 16), (1, 3, 14), (1, 4, 4), (1, 5, 14), (1, 6, 18), (2, 3, 5), (2, 4, 14), (2, 5, 16), (2, 6, 14), (3, 4, 1), (3, 5, 9), (3, 6, 1), (4, 5, 13), (4, 6, 19), (5, 6, 10)]",29,29,0
7,3,"[(0, 1, 7), (0, 2, 6), (0, 3, 7), (0, 4, 11), (0, 5, 19), (0, 6, 12), (1, 2, 16), (1, 3, 14), (1, 4, 4), (1, 5, 14), (1, 6, 18), (2, 3, 5), (2, 4, 14), (2, 5, 16), (2, 6, 14), (3, 4, 1), (3, 5, 9), (3, 6, 1), (4, 5, 13), (4, 6, 19), (5, 6, 10)]",27,27,0
7,4,"[(0, 1, 7), (0, 2, 6), (0, 3, 7), (0, 4, 11), (0, 5, 19), (0, 6, 12), (1, 2, 16), (1, 3, 14), (1, 4, 4), (1, 5, 14), (1, 6, 18), (2, 3, 5), (2, 4, 14), (2, 5, 16), (2, 6, 14), (3, 4, 1), (3, 5, 9), (3, 6, 1), (4, 5, 13), (4, 6, 19), (5, 6, 10)]",26,26,0
7,5,"[(0, 1, 7), (0, 2, 6), (0, 3, 7), (0, 4, 11), (0, 5, 19), (0, 6, 12), (1, 2, 16), (1, 3, 14), (1, 4, 4), (1, 5, 14), (1, 6, 18), (2, 3, 5), (2, 4, 14), (2, 5, 16), (2, 6, 14), (3, 4, 1), (3, 5, 9), (3, 6, 1), (4, 5, 13), (4, 6, 19), (5, 6, 10)]",26,26,0
7,6,"[(0, 1, 7), (0, 2, 6), (0, 3, 7), (0, 4, 11), (0, 5, 19), (0, 6, 12), (1, 2, 16), (1, 3, 14), (1, 4, 4), (1, 5, 14), (1, 6, 18), (2, 3, 5), (2, 4, 14), (2, 5, 16), (2, 6, 14), (3, 4, 1), (3, 5, 9), (3, 6, 1), (4, 5, 13), (4, 6, 19), (5, 6, 10)]",26,26,0
7,2,"[(0, 1, 12), (0, 2, 13), (0, 3, 10), (0, 4, 16), (0, 5, 10), (0, 6, 10), (1, 2, 1), (1, 3, 15), (1, 4, 9), (1, 5, 6), (1, 6, 18), (2, 3, 19), (2, 4, 4), (2, 5, 18), (2, 6, 8), (3, 4, 1), (3, 5, 9), (3, 6, 3), (4, 5, 3), (4, 6, 15), (5, 6, 8)]",24,24,0
7,3,"[(0, 1, 12), (0, 2, 13), (0, 3, 10), (0, 4, 16), (0, 5, 10), (0, 6, 10), (1, 2, 1), (1, 3, 15), (1, 4, 9), (1, 5, 6), (1, 6, 18), (2, 3, 19), (2, 4, 4), (2, 5, 18), (2, 6, 8), (3, 4, 1), (3, 5, 9), (3, 6, 3), (4, 5, 3), (4, 6, 15), (5, 6, 8)]",22,22,0
7,4,"[(0, 1, 12), (0, 2, 13), (0, 3, 10), (0, 4, 16), (0, 5, 10), (0, 6, 10), (1, 2, 1), (1, 3, 15), (1, 4, 9), (1, 5, 6), (1, 6, 18), (2, 3, 19), (2, 4, 4), (2, 5, 18), (2, 6, 8), (3, 4, 1), (3, 5, 9), (3, 6, 3), (4, 5, 3), (4, 6, 15), (5, 6, 8)]",22,22,0
7,5,"[(0, 1, 12), (0, 2, 13), (0, 3, 10), (0, 4, 16), (0, 5, 10), (0, 6, 10), (1, 2, 1), (1, 3, 15), (1, 4, 9), (1, 5, 6), (1, 6, 18), (2, 3, 19), (2, 4, 4), (2, 5, 18), (2, 6, 8), (3, 4, 1), (3, 5, 9), (3, 6, 3), (4, 5, 3), (4, 6, 15), (5, 6, 8)]",22,22,0
7,6,"[(0, 1, 12), (0, 2, 13), (0, 3, 10), (0, 4, 16), (0, 5, 10), (0, 6, 10), (1, 2, 1), (1, 3, 15), (1, 4, 9), (1, 5, 6), (1, 6, 18), (2, 3, 19), (2, 4, 4), (2, 5, 18), (2, 6, 8), (3, 4, 1), (3, 5, 9), (3, 6, 3), (4, 5, 3), (4, 6, 15), (5, 6, 8)]",22,22,0
7,2,"[(0, 1, 18), (0, 2, 15), (0, 3, 4), (0, 4, 7), (0, 5, 15), (0, 6, 10), (1, 2, 19), (1, 3, 15), (1, 4, 3), (1, 5, 19), (1, 6, 2), (2, 3, 16), (2, 4, 6), (2, 5, 5), (2, 6, 16), (3, 4, 15), (3, 5, 2), (3, 6, 5), (4, 5, 7), (4, 6, 11), (5, 6, 10)]",22,22,0
7,3,"[(0, 1, 18), (0, 2, 15), (0, 3, 4), (0, 4, 7), (0, 5, 15), (0, 6, 10), (1, 2, 19), (1, 3, 15), (1, 4, 3), (1, 5, 19), (1, 6, 2), (2, 3, 16), (2, 4, 6), (2, 5, 5), (2, 6, 16), (3, 4, 15), (3, 5, 2), (3, 6, 5), (4, 5, 7), (4, 6, 11), (5, 6, 10)]",21,21,0
7,4,"[(0, 1, 18), (0, 2, 15), (0, 3, 4), (0, 4, 7), (0, 5, 15), (0, 6, 10), (1, 2, 19), (1, 3, 15), (1, 4, 3), (1, 5, 19), (1, 6, 2), (2, 3, 16), (2, 4, 6), (2, 5, 5), (2, 6, 16), (3, 4, 15), (3, 5, 2), (3, 6, 5), (4, 5, 7), (4, 6, 11), (5, 6, 10)]",21,21,0
7,5,"[(0, 1, 18), (0, 2, 15), (0, 3, 4), (0, 4, 7), (0, 5, 15), (0, 6, 10), (1, 2, 19), (1, 3, 15), (1, 4, 3), (1, 5, 19), (1, 6, 2), (2, 3, 16), (2, 4, 6), (2, 5, 5), (2, 6, 16), (3, 4, 15), (3, 5, 2), (3, 6, 5), (4, 5, 7), (4, 6, 11), (5, 6, 10)]",21,21,0
7,6,"[(0, 1, 18), (0, 2, 15), (0, 3, 4), (0, 4, 7), (0, 5, 15), (0, 6, 10), (1, 2, 19), (1, 3, 15), (1, 4, 3), (1, 5, 19), (1, 6, 2), (2, 3, 16), (2, 4, 6), (2, 5, 5), (2, 6, 16), (3, 4, 15), (3, 5, 2), (3, 6, 5), (4, 5, 7), (4, 6, 11), (5, 6, 10)]",21,21,0
7,2,"[(0, 1, 13), (0, 2, 6), (0, 3, 2), (0, 4, 4), (0, 5, 10), (0, 6, 18), (1, 2, 11), (1, 3, 8), (1, 4, 7), (1, 5, 16), (1, 6, 18), (2, 3, 13), (2, 4, 11), (2, 5, 15), (2, 6, 16), (3, 4, 5), (3, 5, 14), (3, 6, 2), (4, 5, 4), (4, 6, 7), (5, 6, 16)]",38,32,6
7,3,"[(0, 1, 13), (0, 2, 6), (0, 3, 2), (0, 4, 4), (0, 5, 10), (0, 6, 18), (1, 2, 11), (1, 3, 8), (1, 4, 7), (1, 5, 16), (1, 6, 18), (2, 3, 13), (2, 4, 11), (2, 5, 15), (2, 6, 16), (3, 4, 5), (3, 5, 14), (3, 6, 2), (4, 5, 4), (4, 6, 7), (5, 6, 16)]",25,25,0
7,4,"[(0, 1, 13), (0, 2, 6), (0, 3, 2), (0, 4, 4), (0, 5, 10), (0, 6, 18), (1, 2, 11), (1, 3, 8), (1, 4, 7), (1, 5, 16), (1, 6, 18), (2, 3, 13), (2, 4, 11), (2, 5, 15), (2, 6, 16), (3, 4, 5), (3, 5, 14), (3, 6, 2), (4, 5, 4), (4, 6, 7), (5, 6, 16)]",25,25,0
7,5,"[(0, 1, 13), (0, 2, 6), (0, 3, 2), (0, 4, 4), (0, 5, 10), (0, 6, 18), (1, 2, 11), (1, 3, 8), (1, 4, 7), (1, 5, 16), (1, 6, 18), (2, 3, 13), (2, 4, 11), (2, 5, 15), (2, 6, 16), (3, 4, 5), (3, 5, 14), (3, 6, 2), (4, 5, 4), (4, 6, 7), (5, 6, 16)]",25,25,0
7,6,"[(0, 1, 13), (0, 2, 6), (0, 3, 2), (0, 4, 4), (0, 5, 10), (0, 6, 18), (1, 2, 11), (1, 3, 8), (1, 4, 7), (1, 5, 16), (1, 6, 18), (2, 3, 13), (2, 4, 11), (2, 5, 15), (2, 6, 16), (3, 4, 5), (3, 5, 14), (3, 6, 2), (4, 5, 4), (4, 6, 7), (5, 6, 16)]",25,25,0
